source,target,type,BOCnt,CCCnt,tot_revenue,avg_revenue
Deep Blue Cargo ship,Carrie Mills,Beneficial Owner,11,1,158489.3362,14408.12147
Deep Blue Cargo ship,Melissa Tyler,Beneficial Owner,11,1,158489.3362,14408.12147
Deep Blue Cargo ship,Monica Wright,Beneficial Owner,11,1,158489.3362,14408.12147
Deep Blue Cargo ship,Christopher Rodriguez,Beneficial Owner,11,1,158489.3362,14408.12147
Deep Blue Cargo ship,Michael Davis,Beneficial Owner,11,1,158489.3362,14408.12147
Deep Blue Cargo ship,Robert Mosley,Beneficial Owner,11,1,158489.3362,14408.12147
Deep Blue Cargo ship,Lisa Smith,Company Contacts,11,1,158489.3362,0
Deep Blue Ltd. Corporation Shipping,Alexandra Singleton,Beneficial Owner,4,1,12877.9821,3219.495525
Deep Blue Ltd. Corporation Shipping,Michael Ellison,Beneficial Owner,4,1,12877.9821,3219.495525
Deep Blue Ltd. Corporation Shipping,Melissa Randall,Beneficial Owner,4,1,12877.9821,3219.495525
Deep Blue Ltd. Corporation Shipping,Regina Ramirez,Beneficial Owner,4,1,12877.9821,3219.495525
Deep Blue Ltd. Corporation Shipping,Raven Bell,Company Contacts,4,1,12877.9821,0
Deep Blue Ltd. Liability Co Shipping,Jack Mcclure,Beneficial Owner,12,1,45451.5922,3787.632683
Deep Blue Ltd. Liability Co Shipping,Randall Brown,Beneficial Owner,12,1,45451.5922,3787.632683
Deep Blue Ltd. Liability Co Shipping,Julia Tran,Beneficial Owner,12,1,45451.5922,3787.632683
Deep Blue Ltd. Liability Co Shipping,Samantha Ellison,Beneficial Owner,12,1,45451.5922,3787.632683
Deep Blue Ltd. Liability Co Shipping,Rose White,Beneficial Owner,12,1,45451.5922,3787.632683
Deep Blue Ltd. Liability Co Shipping,John Payne,Beneficial Owner,12,1,45451.5922,3787.632683
Deep Blue Ltd. Liability Co Shipping,David Morris,Beneficial Owner,12,1,45451.5922,3787.632683
Deep Blue Ltd. Liability Co Shipping,Heather Gray,Beneficial Owner,12,1,45451.5922,3787.632683
Deep Blue Ltd. Liability Co Shipping,Sarah Flores,Beneficial Owner,12,1,45451.5922,3787.632683
Deep Blue Ltd. Liability Co Shipping,Anne Ramirez,Beneficial Owner,12,1,45451.5922,3787.632683
Deep Blue Ltd. Liability Co Shipping,John Mullins,Beneficial Owner,12,1,45451.5922,3787.632683
Deep Blue Ltd. Liability Co Shipping,William Griffin,Beneficial Owner,12,1,45451.5922,3787.632683
Deep Blue Ltd. Liability Co Shipping,Mark Neal,Company Contacts,12,1,45451.5922,0
Deep Blue Sagl Logistics,Julie Potts,Beneficial Owner,2,0,0,0
Deep Blue Sagl Logistics,Jo Mccoy,Beneficial Owner,2,0,0,0
Deep Blue Surfboard LC Solutions,Craig Estes,Company Contacts,0,1,0,0
Deep Sea Divers BV Logistics,Victoria Armstrong,Beneficial Owner,8,1,0,0
Deep Sea Divers BV Logistics,Laura Robinson,Beneficial Owner,8,1,0,0
Deep Sea Divers BV Logistics,Amy Williams,Beneficial Owner,8,1,0,0
Deep Sea Divers BV Logistics,Monica Pearson,Beneficial Owner,8,1,0,0
Deep Sea Divers BV Logistics,Todd Pham,Beneficial Owner,8,1,0,0
Deep Sea Divers BV Logistics,Lindsay Ingram,Beneficial Owner,8,1,0,0
Deep Sea Divers BV Logistics,Arthur Martin,Beneficial Owner,8,1,0,0
Deep Sea Divers BV Logistics,Thomas Hansen,Beneficial Owner,8,1,0,0
Deep Sea Divers BV Logistics,Angela Castaneda,Company Contacts,8,1,0,0
Deep Sea Divers Corp Transport,Lisa Stewart,Beneficial Owner,10,1,66024.5155,6602.45155
Deep Sea Divers Corp Transport,Joshua Shields,Beneficial Owner,10,1,66024.5155,6602.45155
Deep Sea Divers Corp Transport,Melissa Schmidt,Beneficial Owner,10,1,66024.5155,6602.45155
Deep Sea Divers Corp Transport,Kara Lopez,Beneficial Owner,10,1,66024.5155,6602.45155
Deep Sea Divers Corp Transport,Kim Gill,Beneficial Owner,10,1,66024.5155,6602.45155
Deep Sea Divers Corp Transport,Sarah Gray,Beneficial Owner,10,1,66024.5155,6602.45155
Deep Sea Divers Corp Transport,Kathleen Glover,Beneficial Owner,10,1,66024.5155,6602.45155
Deep Sea Divers Corp Transport,Steven Turner,Beneficial Owner,10,1,66024.5155,6602.45155
Deep Sea Divers Corp Transport,Nicole Roberts,Beneficial Owner,10,1,66024.5155,6602.45155
Deep Sea Divers Corp Transport,Laurie Morris,Beneficial Owner,10,1,66024.5155,6602.45155
Deep Sea Divers Corp Transport,Melissa Hernandez,Company Contacts,10,1,66024.5155,0
Deep Sea Divers LC,Angela Brooks,Beneficial Owner,1,1,11686.6728,11686.6728
Deep Sea Divers LC,Jason Turner,Company Contacts,1,1,11686.6728,0
Deep Sea Divers Plc Investment,Mr. Perry Harmon,Beneficial Owner,2,1,9940.9349,4970.46745
Deep Sea Divers Plc Investment,Nancy Hill,Beneficial Owner,2,1,9940.9349,4970.46745
Deep Sea Divers Plc Investment,Jennifer Moore,Company Contacts,2,1,9940.9349,0
Delacruz and Sons,Julie Harvey,Beneficial Owner,1,1,0,0
Delacruz and Sons,Nathan Mcintyre,Company Contacts,1,1,0,0
"Delacruz, Bennett and Dunn",Lisa Kemp,Beneficial Owner,1,0,0,0
"Delacruz, Murphy and Freeman",Jaime Duarte,Company Contacts,0,1,0,0
Delacruz-Mayer,Cynthia Christian,Beneficial Owner,1,0,0,0
Deleon PLC,Susan Mason,Beneficial Owner,1,0,0,0
"Deleon, Chambers and Ellis",Jason Wilson,Beneficial Owner,1,0,0,0
"Deleon, Jones and Rose",Nicholas Mitchell,Beneficial Owner,1,0,0,0
"Deleon, Phillips and Evans",Patricia Garrett,Company Contacts,0,1,0,0
"Deleon, Wood and Haynes",Luke Cox,Beneficial Owner,1,0,0,0
Delgado PLC,Daniel Rowland,Company Contacts,0,1,0,0
"Delgado, Cox and Wood",James Wang,Beneficial Owner,1,0,0,0
"Delgado, Phillips and Young",Sean Mcdonald,Company Contacts,0,1,0,0
Delgado-Beard,April Gutierrez,Company Contacts,0,1,0,0
Delgado-Brown,Suzanne Huffman,Company Contacts,0,1,0,0
Delgado-Glenn,Aaron Reilly,Beneficial Owner,1,0,0,0
Delgado-Ibarra,Victoria Ortega,Beneficial Owner,1,0,0,0
Delhi   Anchor LC & Son's,Thomas Ortega,Beneficial Owner,1,1,16040.1569,16040.1569
Delhi   Anchor LC & Son's,Brenda Castillo,Company Contacts,1,1,16040.1569,0
Delhi   Limited Liability Company,Christopher Stout,Beneficial Owner,1,0,76354.0964,76354.0964
Delhi   Ltd. Liability Co,Dr. Donald George,Company Contacts,0,1,0,0
Delhi   S.p.A. Marine life,Mary Jackson,Beneficial Owner,1,1,14356.6728,14356.6728
Delhi   S.p.A. Marine life,Sonia Owens,Company Contacts,1,1,14356.6728,0
Delhi   Surf Ltd and Son's,Monica Thompson,Company Contacts,0,1,0,0
Delhi ers AS Holdings,Nicole Simmons,Company Contacts,2,3,76766.6728,0
Delhi ers AS Holdings,John Gutierrez,Company Contacts,2,3,76766.6728,0
Delhi ers AS Holdings,Sharon Randolph,Beneficial Owner,2,3,76766.6728,38383.3364
Delhi ers AS Holdings,Joshua Shepard,Beneficial Owner,2,3,76766.6728,38383.3364
Delhi ers AS Holdings,Scott Guzman,Company Contacts,2,3,76766.6728,0
Delhi ers Corp Worldwide,Jack Wilson MD,Beneficial Owner,4,0,8733.6991,2183.424775
Delhi ers Corp Worldwide,Michael Russell,Beneficial Owner,4,0,8733.6991,2183.424775
Delhi ers Corp Worldwide,Sherry Burgess,Beneficial Owner,4,0,8733.6991,2183.424775
Delhi ers Corp Worldwide,Jerry Gonzalez,Beneficial Owner,4,0,8733.6991,2183.424775
Delhi ers Express Lock,Monica Johns MD,Company Contacts,0,1,59066.6728,59066.6728
Delhi ers LLC Holdings,Anthony Barnes,Beneficial Owner,1,1,24466.6728,24466.6728
Delhi ers LLC Holdings,Michelle Moran,Company Contacts,1,1,24466.6728,0
Delhi ers Ltd. Corporation,Amy Allen,Company Contacts,0,1,0,0
Delhi ers Ltd. Liability Co,Emma Mathis,Beneficial Owner,2,1,8051.5397,4025.76985
Delhi ers Ltd. Liability Co,Ricky Mason,Beneficial Owner,2,1,8051.5397,4025.76985
Delhi ers Ltd. Liability Co,Jennifer Wells,Company Contacts,2,1,8051.5397,0
Delhi ers Marine ecology,April Dixon,Beneficial Owner,4,1,0,0
Delhi ers Marine ecology,Sabrina Morris,Beneficial Owner,4,1,0,0
Delhi ers Marine ecology,Stephanie Lee,Beneficial Owner,4,1,0,0
Delhi ers Marine ecology,Dr. Stephanie Clark,Beneficial Owner,4,1,0,0
Delhi ers Marine ecology,John Murphy,Company Contacts,4,1,0,0
Delhi ers Port AG Marine conservation,Ms. Wendy Rodriguez,Company Contacts,0,1,19166.6728,19166.6728
Delphinia Ltd. Liability Co,David Rodriguez,Beneficial Owner,3,1,0,0
Delphinia Ltd. Liability Co,Joseph Wallace,Beneficial Owner,3,1,0,0
Delphinia Ltd. Liability Co,William Stark,Beneficial Owner,3,1,0,0
Delphinia Ltd. Liability Co,Shawn Becker,Company Contacts,3,1,0,0
Delphinia Seagrass GmbH Marine sanctuary,Alan Parker,Beneficial Owner,5,1,0,0
Delphinia Seagrass GmbH Marine sanctuary,Emily Ruiz,Beneficial Owner,5,1,0,0
Delphinia Seagrass GmbH Marine sanctuary,Abigail Franco,Beneficial Owner,5,1,0,0
Delphinia Seagrass GmbH Marine sanctuary,Lisa Kelly,Beneficial Owner,5,1,0,0
Delphinia Seagrass GmbH Marine sanctuary,Dale Brooks,Beneficial Owner,5,1,0,0
Delphinia Seagrass GmbH Marine sanctuary,Andrew Thompson,Company Contacts,5,1,0,0
Dennis Group,Ronald Griffin,Beneficial Owner,1,0,0,0
Dennis PLC,Christina Martinez,Beneficial Owner,1,0,0,0
"Dennis, Collins and Evans",Amanda Schmidt,Beneficial Owner,1,0,0,0
Dennis-Cameron,Luis Craig,Beneficial Owner,1,0,0,0
Dennis-Foster,Alexandra Wheeler,Company Contacts,0,1,0,0
Diao er  and GmbH & Co. KG Cargo,Jeffrey Miles,Beneficial Owner,6,1,46473.1064,7745.517733
Diao er  and GmbH & Co. KG Cargo,Jessica Wilcox,Beneficial Owner,6,1,46473.1064,7745.517733
Diao er  and GmbH & Co. KG Cargo,Michael Davis,Beneficial Owner,6,1,46473.1064,7745.517733
Diao er  and GmbH & Co. KG Cargo,Steven Hawkins,Beneficial Owner,6,1,46473.1064,7745.517733
Diao er  and GmbH & Co. KG Cargo,David Wyatt,Beneficial Owner,6,1,46473.1064,7745.517733
Diao er  and GmbH & Co. KG Cargo,Nicole Coleman,Beneficial Owner,6,1,46473.1064,7745.517733
Diao er  and GmbH & Co. KG Cargo,Douglas Sullivan,Company Contacts,6,1,46473.1064,0
Diao er  GmbH & Co. KG Marine conservation,Cathy Johnson,Company Contacts,0,1,9206.6728,9206.6728
Diao er  GmbH Distribution,Judith Scott,Company Contacts,0,1,8532.8275,8532.8275
Diao er  NV Delivery,Victor Clark,Beneficial Owner,2,1,0,0
Diao er  NV Delivery,Diana Smith,Beneficial Owner,2,1,0,0
Diao er  NV Delivery,Katherine Wallace,Company Contacts,2,1,0,0
Diao er  NV Transit,Virginia Harper,Company Contacts,0,1,0,0
Diao yu  BV Logistics,Robert Carpenter,Company Contacts,7,2,6831.1749,0
Diao yu  BV Logistics,Paula Watson,Beneficial Owner,7,2,6831.1749,975.8821286
Diao yu  BV Logistics,Jason Foster,Beneficial Owner,7,2,6831.1749,975.8821286
Diao yu  BV Logistics,Kevin Hansen,Beneficial Owner,7,2,6831.1749,975.8821286
Diao yu  BV Logistics,Briana Richmond DVM,Beneficial Owner,7,2,6831.1749,975.8821286
Diao yu  BV Logistics,Jared Dunn,Beneficial Owner,7,2,6831.1749,975.8821286
Diao yu  BV Logistics,Emily Wilson,Beneficial Owner,7,2,6831.1749,975.8821286
Diao yu  BV Logistics,Corey Gomez,Beneficial Owner,7,2,6831.1749,975.8821286
Diao yu  BV Logistics,Scott Hunt,Company Contacts,7,2,6831.1749,0
Diao yu  Inc Marine biology,Ashley Thompson,Company Contacts,0,1,21766.6728,21766.6728
Diao yu  Limited Liability Company Forwading,Jorge Cameron,Beneficial Owner,2,1,39793.3675,19896.68375
Diao yu  Limited Liability Company Forwading,Lisa Gill,Beneficial Owner,2,1,39793.3675,19896.68375
Diao yu  Limited Liability Company Forwading,Anthony Johns,Company Contacts,2,1,39793.3675,0
Diao yu  Marine sanctuary OJSC and Son's,Veronica Wright,Company Contacts,0,1,0,0
Diao yu bi sai  A/S,Sharon Lewis,Company Contacts,0,1,60666.6728,60666.6728
Diao yu bi sai  BV,Michael Jimenez,Company Contacts,0,3,28566.6728,9522.224267
Diao yu bi sai  BV,Terri Pratt,Company Contacts,0,3,28566.6728,9522.224267
Diao yu bi sai  BV,Elizabeth Alexander,Company Contacts,0,3,28566.6728,9522.224267
Diao yu bi sai  Corp,Morgan Curtis,Beneficial Owner,1,1,17801.0502,17801.0502
Diao yu bi sai  Corp,Carrie Williams,Company Contacts,1,1,17801.0502,0
Diao yu bi sai  Inc,Seth Wells,Company Contacts,0,1,14266.6728,14266.6728
Diao yu bi sai  Oyj,Jordan Davis,Beneficial Owner,4,0,0,0
Diao yu bi sai  Oyj,Catherine Thompson,Beneficial Owner,4,0,0,0
Diao yu bi sai  Oyj,Michael Jacobs,Beneficial Owner,4,0,0,0
Diao yu bi sai  Oyj,Melinda Meza,Beneficial Owner,4,0,0,0
Diao yu bi sai  Sagl,Brian Alexander,Beneficial Owner,5,2,9253.3926,1850.67852
Diao yu bi sai  Sagl,Marissa Ruiz,Beneficial Owner,5,2,9253.3926,1850.67852
Diao yu bi sai  Sagl,William Singh,Beneficial Owner,5,2,9253.3926,1850.67852
Diao yu bi sai  Sagl,Lauren Matthews,Beneficial Owner,5,2,9253.3926,1850.67852
Diao yu bi sai  Sagl,John Davis,Beneficial Owner,5,2,9253.3926,1850.67852
Diao yu bi sai  Sagl,Dr. Christy Hester,Company Contacts,5,2,9253.3926,0
Diao yu bi sai  Sagl,Tyler Spence,Company Contacts,5,2,9253.3926,0
Diao yu bi sai  Sp Delivery,Kathleen Hill,Beneficial Owner,13,1,1428129.293,109856.0995
Diao yu bi sai  Sp Delivery,Raymond Rangel,Beneficial Owner,13,1,1428129.293,109856.0995
Diao yu bi sai  Sp Delivery,Sarah Hendrix,Beneficial Owner,13,1,1428129.293,109856.0995
Diao yu bi sai  Sp Delivery,Kristin Day,Beneficial Owner,13,1,1428129.293,109856.0995
Diao yu bi sai  Sp Delivery,Tammy Cline,Beneficial Owner,13,1,1428129.293,109856.0995
Diao yu bi sai  Sp Delivery,Michael Adams,Beneficial Owner,13,1,1428129.293,109856.0995
Diao yu bi sai  Sp Delivery,Hailey Church,Beneficial Owner,13,1,1428129.293,109856.0995
Diao yu bi sai  Sp Delivery,Troy Clark,Beneficial Owner,13,1,1428129.293,109856.0995
Diao yu bi sai  Sp Delivery,Leon Olson,Beneficial Owner,13,1,1428129.293,109856.0995
Diao yu bi sai  Sp Delivery,Tonya Moore,Beneficial Owner,13,1,1428129.293,109856.0995
Diao yu bi sai  Sp Delivery,Heather Sutton DVM,Beneficial Owner,13,1,1428129.293,109856.0995
Diao yu bi sai  Sp Delivery,Lance Baldwin,Beneficial Owner,13,1,1428129.293,109856.0995
Diao yu bi sai  Sp Delivery,Sherry Beltran,Beneficial Owner,13,1,1428129.293,109856.0995
Diao yu bi sai  Sp Delivery,George Reed,Company Contacts,13,1,1428129.293,0
Diao yu bi sai  SRL,Nancy Foster,Company Contacts,1,2,488509.2742,0
Diao yu bi sai  SRL,Warren Murphy,Beneficial Owner,1,2,488509.2742,488509.2742
Diao yu bi sai  SRL,Zachary Palmer,Company Contacts,1,2,488509.2742,0
Diao yu bi sai  Transportation,James King,Beneficial Owner,2,1,0,0
Diao yu bi sai  Transportation,Clinton Pitts,Beneficial Owner,2,1,0,0
Diao yu bi sai  Transportation,Jessica Hebert,Company Contacts,2,1,0,0
Diàoyú A/S Marine biology,Catherine Lin,Beneficial Owner,2,1,25137.8314,12568.9157
Diàoyú A/S Marine biology,Tammy Bell,Beneficial Owner,2,1,25137.8314,12568.9157
Diàoyú A/S Marine biology,Richard Wright,Company Contacts,2,1,25137.8314,0
Diàoyú Barracuda Corp Industrial,Terri Carlson,Company Contacts,0,1,0,0
Diaz and Sons,Destiny Thomas,Beneficial Owner,1,0,0,0
Diaz Inc,Linda King,Beneficial Owner,2,0,0,0
Diaz Inc,Natalie Morrow,Beneficial Owner,2,0,0,0
Diaz Ltd,Carol Watts,Beneficial Owner,2,1,0,0
Diaz Ltd,James Allison,Beneficial Owner,2,1,0,0
Diaz Ltd,Dr. Kevin Wallace,Company Contacts,2,1,0,0
Diaz PLC,Linda Baker,Beneficial Owner,3,1,0,0
Diaz PLC,Joseph Vargas,Beneficial Owner,3,1,0,0
Diaz PLC,Jake Patton,Beneficial Owner,3,1,0,0
Diaz PLC,Anthony Ortega,Company Contacts,3,1,0,0
"Diaz, Harrington and Davis",James Daniel,Company Contacts,0,1,0,0
"Diaz, Keller and Craig",Patrick Ellis,Beneficial Owner,1,0,0,0
"Diaz, Kim and Avery",Gabriela Stone,Beneficial Owner,1,0,0,0
"Diaz, Martin and Solomon",James Wood,Beneficial Owner,1,0,0,0
"Diaz, Miranda and Herrera",Michael Bartlett,Beneficial Owner,1,0,0,0
"Diaz, Morales and Aguilar",Breanna Mendoza,Company Contacts,0,1,0,0
"Diaz, Preston and Sherman",Eddie Watson,Beneficial Owner,1,0,0,0
"Diaz, Riley and Erickson",Anthony Brennan,Beneficial Owner,1,0,0,0
"Diaz, Smith and Hebert",Lauren Smith,Beneficial Owner,1,0,0,0
"Diaz, Stewart and Thomas",Lisa Williams,Beneficial Owner,1,0,0,0
"Diaz, Young and Young",Destiny Gray,Company Contacts,0,1,0,0
Diaz-Anderson,Mr. Thomas Kelley,Beneficial Owner,1,0,0,0
Diaz-Baker,Edward Thomas,Beneficial Owner,1,0,0,0
Diaz-Garcia,Laura Lee,Beneficial Owner,1,0,0,0
Diaz-Kim,Mr. Mitchell Green,Beneficial Owner,1,0,0,0
Diaz-Levine,Gina Brock,Beneficial Owner,1,0,0,0
Diaz-Lewis,Michael Chang,Beneficial Owner,1,0,0,0
Diaz-Marsh,Gerald Page,Company Contacts,0,1,0,0
Diaz-Pham,Dustin Nguyen,Company Contacts,0,1,0,0
Diaz-Ward,Rebecca Scott,Beneficial Owner,1,0,0,0
Dickerson Group,Laura Poole,Beneficial Owner,1,0,0,0
Dickerson Ltd,Michael Hurley,Beneficial Owner,1,0,0,0
"Dickerson, Perry and Castillo",Philip White,Beneficial Owner,1,0,0,0
"Dickerson, Thomas and Swanson",Danielle Jones,Beneficial Owner,1,0,0,0
Dickerson-Smith,Joseph Stephens,Beneficial Owner,1,0,0,0
Dillon and Sons,Julie Mcmillan,Beneficial Owner,1,0,0,0
Dillon Group,Laura Cook,Beneficial Owner,1,0,0,0
Dillon LLC,Jose Turner,Beneficial Owner,1,0,0,0
"Dillon, Chan and Rodriguez",Brianna Arroyo,Beneficial Owner,1,0,0,0
"Dillon, Graves and Garcia",Nicole Garcia,Beneficial Owner,1,0,0,0
Dillon-Graham,Cody Allen,Beneficial Owner,1,0,0,0
Dillon-Jensen,Robin Burton,Beneficial Owner,1,0,0,0
Dillon-Shepard,Jessica Abbott,Company Contacts,0,1,0,0
Direct Starfish Inc Worldwide,Krista Trujillo,Company Contacts,0,1,0,0
Dixon and Sons,Benjamin Martinez,Company Contacts,0,1,0,0
Dixon Inc,Thomas Martinez,Beneficial Owner,1,0,0,0
Dixon Ltd,Mason Ball,Beneficial Owner,1,0,0,0
Dixon PLC,Samantha Martinez,Company Contacts,0,1,0,0
"Dixon, Chaney and Neal",Jennifer Wood,Beneficial Owner,1,0,0,0
"Dixon, Cohen and Powell",Patrick Perez,Company Contacts,0,1,0,0
"Dixon, Cox and Robertson",Emily Smith,Company Contacts,0,1,0,0
"Dixon, Jackson and Smith",Peter Wilkinson,Beneficial Owner,1,0,0,0
"Dixon, Petty and Fernandez",Ann Russo,Beneficial Owner,1,0,0,0
"Dixon, Roberts and Cummings",Sarah Perry,Beneficial Owner,1,0,0,0
"Dixon, Taylor and Hayden",Karen Miles,Beneficial Owner,1,0,0,0
"Dixon, Terrell and Clark",Bruce Johnson,Beneficial Owner,1,0,0,0
Dixon-Brooks,Dawn Shelton,Beneficial Owner,1,0,0,0
Dixon-Hinton,Brenda Cox,Beneficial Owner,1,0,0,0
Dixon-Jenkins,Denise Reyes,Company Contacts,0,1,0,0
Dixon-Marshall,Sharon Reed,Company Contacts,0,1,0,0
Dixon-Moore,Eric Young,Beneficial Owner,1,0,0,0
Dixon-Webb,Marissa Walker,Beneficial Owner,1,0,0,0
Dnipro  & CJSC Consultants,Caleb Morrow,Company Contacts,0,2,0,0
Dnipro  & CJSC Consultants,Sarah Valentine,Company Contacts,0,2,0,0
Dnipro  Breakwater LC Marine sanctuary,Kimberly Mitchell,Beneficial Owner,11,1,33526.7005,3047.881864
Dnipro  Breakwater LC Marine sanctuary,David Edwards,Beneficial Owner,11,1,33526.7005,3047.881864
Dnipro  Breakwater LC Marine sanctuary,Isaiah Freeman,Beneficial Owner,11,1,33526.7005,3047.881864
Dnipro  Breakwater LC Marine sanctuary,Mark Sherman,Beneficial Owner,11,1,33526.7005,3047.881864
Dnipro  Breakwater LC Marine sanctuary,Melissa Williamson,Beneficial Owner,11,1,33526.7005,3047.881864
Dnipro  Breakwater LC Marine sanctuary,Joseph Alvarez,Beneficial Owner,11,1,33526.7005,3047.881864
Dnipro  Breakwater LC Marine sanctuary,Christopher Freeman,Beneficial Owner,11,1,33526.7005,3047.881864
Dnipro  Breakwater LC Marine sanctuary,Marissa Lee,Beneficial Owner,11,1,33526.7005,3047.881864
Dnipro  Breakwater LC Marine sanctuary,Stephen Wright,Beneficial Owner,11,1,33526.7005,3047.881864
Dnipro  Breakwater LC Marine sanctuary,Thomas Kelley,Beneficial Owner,11,1,33526.7005,3047.881864
Dnipro  Breakwater LC Marine sanctuary,Kyle Johns,Beneficial Owner,11,1,33526.7005,3047.881864
Dnipro  Breakwater LC Marine sanctuary,Evelyn Zamora,Company Contacts,11,1,33526.7005,0
Dnipro  GmbH & Co. KG Consultants,Amanda Fox,Company Contacts,0,1,16866.6728,16866.6728
Dnipro  Limited Liability Company,Jordan Murphy,Beneficial Owner,7,2,5646.6728,806.6675429
Dnipro  Limited Liability Company,Benjamin Frank,Beneficial Owner,7,2,5646.6728,806.6675429
Dnipro  Limited Liability Company,Donald Shaw,Beneficial Owner,7,2,5646.6728,806.6675429
Dnipro  Limited Liability Company,Michelle Taylor,Beneficial Owner,7,2,5646.6728,806.6675429
Dnipro  Limited Liability Company,John Ross,Beneficial Owner,7,2,5646.6728,806.6675429
Dnipro  Limited Liability Company,Jessica May,Beneficial Owner,7,2,5646.6728,806.6675429
Dnipro  Limited Liability Company,Christopher Franklin,Beneficial Owner,7,2,5646.6728,806.6675429
Dnipro  Limited Liability Company,Deborah Burns,Company Contacts,7,2,5646.6728,0
Dnipro  Limited Liability Company,Erik Bishop,Company Contacts,7,2,5646.6728,0
Dnipro  Saltwater N.V. Services,Joann Thomas,Beneficial Owner,4,1,10570.703,2642.67575
Dnipro  Saltwater N.V. Services,James Reed MD,Beneficial Owner,4,1,10570.703,2642.67575
Dnipro  Saltwater N.V. Services,Kristine Nguyen,Beneficial Owner,4,1,10570.703,2642.67575
Dnipro  Saltwater N.V. Services,Mark Miller,Beneficial Owner,4,1,10570.703,2642.67575
Dnipro  Saltwater N.V. Services,Michael Ballard,Company Contacts,4,1,10570.703,0
"Dodson, Cunningham and Lucero",Gwendolyn Pearson,Company Contacts,0,1,0,0
"Dodson, Gonzalez and Flores",Chase Williams,Company Contacts,0,1,0,0
"Dodson, Morris and Brown",Brooke Dunn,Company Contacts,0,1,0,0
Dodson-Carrillo,Mark Watkins,Beneficial Owner,1,0,0,0
Dodson-Williams,Anthony Ramirez,Company Contacts,0,1,0,0
Dolphin Dreams AG Forwading,Audrey Elliott,Beneficial Owner,3,1,23423.5009,7807.833633
Dolphin Dreams AG Forwading,Jerry Barrera,Beneficial Owner,3,1,23423.5009,7807.833633
Dolphin Dreams AG Forwading,Noah Kim,Beneficial Owner,3,1,23423.5009,7807.833633
Dolphin Dreams AG Forwading,Sandy Medina,Company Contacts,3,1,23423.5009,0
Dolphin Dreams Co Solutions,Nicole Fisher,Company Contacts,0,1,7286.6728,7286.6728
Dolphin Dreams Cod S.A. de C.V. Carriers,Jim Kidd,Company Contacts,0,1,9366.6728,9366.6728
Dolphin Dreams Corp Brothers,Jennifer Mitchell,Beneficial Owner,2,1,5412.7098,2706.3549
Dolphin Dreams Corp Brothers,Mark Pittman PhD,Beneficial Owner,2,1,5412.7098,2706.3549
Dolphin Dreams Corp Brothers,Ronnie Acevedo,Company Contacts,2,1,5412.7098,0
Dominguez Group,Linda Summers,Company Contacts,0,1,0,0
Dominguez Inc,Anthony Ruiz,Beneficial Owner,1,0,0,0
"Dominguez, Conner and Turner",Dawn Miller,Company Contacts,0,1,0,0
"Dominguez, Hopkins and Cooper",Corey Sellers,Beneficial Owner,1,0,0,0
"Dominguez, Marks and Collier",Mark Simmons,Beneficial Owner,1,0,0,0
"Dominguez, Willis and White",Andrew Adams,Company Contacts,0,1,0,0
Dominguez-Davis,Katherine Foster,Beneficial Owner,1,0,13046.6728,13046.6728
Dominguez-Newman,Allison Rodriguez,Beneficial Owner,1,0,0,0
Dominguez-Watts,Carol Moreno,Beneficial Owner,1,0,0,0
Donald AB Marine ecology,Molly Buchanan,Beneficial Owner,1,1,8467.636,8467.636
Donald AB Marine ecology,Larry Allen,Company Contacts,1,1,8467.636,0
Donald Bonito LLC Line,Rebecca Porter,Beneficial Owner,7,1,8776.2004,1253.742914
Donald Bonito LLC Line,Jasmine Miller DDS,Beneficial Owner,7,1,8776.2004,1253.742914
Donald Bonito LLC Line,Eric Wagner,Beneficial Owner,7,1,8776.2004,1253.742914
Donald Bonito LLC Line,Don Hamilton,Beneficial Owner,7,1,8776.2004,1253.742914
Donald Bonito LLC Line,Kimberly Walter,Beneficial Owner,7,1,8776.2004,1253.742914
Donald Bonito LLC Line,Anthony Taylor,Beneficial Owner,7,1,8776.2004,1253.742914
Donald Bonito LLC Line,Curtis Burch,Beneficial Owner,7,1,8776.2004,1253.742914
Donald Bonito LLC Line,Benjamin Castro,Company Contacts,7,1,8776.2004,0
"Donaldson, Cunningham and Rodriguez",Lisa Choi,Company Contacts,0,1,0,0
"Donovan, Fisher and Armstrong",Kathleen Miles,Company Contacts,0,1,0,0
"Donovan, Rivera and Sampson",Robert Collins,Beneficial Owner,1,0,0,0
Doris Carriers Marine life,William Holt,Beneficial Owner,8,1,0,0
Doris Carriers Marine life,Tiffany Gallegos,Beneficial Owner,8,1,0,0
Doris Carriers Marine life,Wesley Johnson,Beneficial Owner,8,1,0,0
Doris Carriers Marine life,Joseph Stewart,Beneficial Owner,8,1,0,0
Doris Carriers Marine life,Jose Potter,Beneficial Owner,8,1,0,0
Doris Carriers Marine life,George Brown,Beneficial Owner,8,1,0,0
Doris Carriers Marine life,Lisa Walker,Beneficial Owner,8,1,0,0
Doris Carriers Marine life,Jonathan King,Beneficial Owner,8,1,0,0
Doris Carriers Marine life,Jonathan Guerrero,Company Contacts,8,1,0,0
Doris Ltd. Corporation Merchants,Sherry Lindsey,Beneficial Owner,1,1,45761.0488,45761.0488
Doris Ltd. Corporation Merchants,Brandy Washington,Company Contacts,1,1,45761.0488,0
